Description,Population,Male,Female,Household
Setteled in urban areas,"9,044","4,717","4,327","2,536"
Settled in rural areas,"45,571","22,863","22,708","12,989"
Unsettled ,0,0,0,0
Bajestan,"31,207","15,683","15,524","10,011"
Setteled in urban areas,"15,167","7,527","7,640","4,881"
Settled in rural areas,"16,040","8,156","7,884","5,130"
Unsettled ,0,0,0,0
Bardeskan ,"75,631","38,332","37,299","23,732"
Setteled in urban areas,"36,502","18,543","17,959","11,075"
Settled in rural areas,"39,129","19,789","19,340","12,657"
Unsettled ,0,0,0,0
Binalood,"69,640","35,980","33,660","21,861"
Setteled in urban areas,"34,985","17,864","17,121","10,954"
Settled in rural areas,"34,653","18,114","16,539","10,905"
Unsettled ,2,2,0,2
Taybad,"117,564","60,007","57,557","30,718"
Setteled in urban areas,"77,769","39,782","37,987","20,596"
Settled in rural areas,"39,793","20,224","19,569","10,121"
Unsettled ,2,1,1,1
Torbat-e-Jam ,"267,671","135,477","132,194","71,802"
Setteled in urban areas,"132,231","66,919","65,312","35,410"
Settled in rural areas,"135,440","68,558","66,882","36,392"
Unsettled ,0,0,0,0
Torbat-e-Heydariyeh ,"224,626","114,968","109,658","68,927"
Setteled in urban areas,"148,834","75,884","72,950","45,804"
Settled in rural areas,"75,740","39,057","36,683","23,107"
Unsettled ,52,27,25,16
Joghatay,"49,175","25,081","24,094","14,923"
Setteled in urban areas,"9,268","4,707","4,561","2,670"
Settled in rural areas,"39,907","20,374","19,533","12,253"
Unsettled ,0,0,0,0
Jovin,"54,488","27,632","26,856","16,738"
Setteled in urban areas,"14,783","7,515","7,268","4,443"
Settled in rural areas,"39,507","20,012","19,495","12,237"
Unsettled ,198,105,93,58
Chenaran ,"155,013","80,956","74,057","45,105"
Setteled in urban areas,"99,129","50,661","48,468","29,324"
Settled in rural areas,"55,773","30,230","25,543","15,754"
Unsettled ,111,65,46,27
Khalil Abad,"51,701","26,251","25,450","16,684"
Setteled in urban areas,"19,211","9,580","9,631","6,224"
Settled in rural areas,"32,490","16,671","15,819","10,460"
Unsettled ,0,0,0,0
Khaf ,"138,972","70,328","68,644","36,399"
Setteled in urban areas,"67,508","34,249","33,259","17,883"
Settled in rural areas,"71,464","36,079","35,385","18,516"
Unsettled ,0,0,0,0
Khooshab,"37,181","18,751","18,430","11,883"
Setteled in urban areas,"5,932","3,063","2,869","1,751"
Settled in rural areas,"31,249","15,688","15,561","10,132"
Unsettled ,0,0,0,0
Davarzan,"21,911","11,072","10,839","7,678"
Setteled in urban areas,"2,744","1,361","1,383",885
Settled in rural areas,"19,167","9,711","9,456","6,793"
Unsettled ,0,0,0,0
Dargaz ,"72,355","36,505","35,850","22,778"
Setteled in urban areas,"43,635","21,917","21,718","13,684"
Settled in rural areas,"28,720","14,588","14,132","9,094"
Unsettled ,0,0,0,0
Rashtkhar,"60,689","30,817","29,872","17,566"
Setteled in urban areas,"14,164","7,094","7,070","3,850"
Settled in rural areas,"46,525","23,723","22,802","13,716"
Unsettled ,0,0,0,0
Zaveh,"67,695","34,183","33,512","20,063"
Setteled in urban areas,"9,329","4,608","4,721","2,939"
Settled in rural areas,"58,362","29,572","28,790","17,122"
Unsettled ,4,3,1,2
Sabzevar ,"306,310","153,187","153,123","95,553"
Setteled in urban areas,"250,836","125,325","125,511","76,931"
Settled in rural areas,"55,473","27,861","27,612","18,621"
Unsettled ,1,1,0,1
Serakhs,"97,519","49,813","47,706","26,932"
Setteled in urban areas,"43,420","22,062","21,358","12,141"
Settled in rural areas,"54,098","27,751","26,347","14,790"
Unsettled ,1,0,1,1
Fariman,"99,001","50,044","48,957","28,641"
Setteled in urban areas,"58,966","29,868","29,098","17,276"
Settled in rural areas,"40,035","20,176","19,859","11,365"
Unsettled ,0,0,0,0
Firooze ,"37,539","19,064","18,475","11,783"
Setteled in urban areas,"7,158","3,636","3,522","2,117"
Settled in rural areas,"30,381","15,428","14,953","9,666"
Unsettled ,0,0,0,0
Quchan,"174,495","88,656","85,839","52,851"
Setteled in urban areas,"102,198","51,806","50,392","30,287"
Settled in rural areas,"72,295","36,848","35,447","22,562"
Unsettled ,2,2,0,2
Kashmar ,"168,664","85,004","83,660","52,778"
Setteled in urban areas,"107,969","54,570","53,399","33,476"
Settled in rural areas,"60,695","30,434","30,261","19,302"
Unsettled ,0,0,0,0
Kalat ,"36,237","18,405","17,832","10,708"
Setteled in urban areas,"11,432","5,783","5,649","3,257"
Settled in rural areas,"24,805","12,622","12,183","7,451"
Unsettled ,0,0,0,0
Gonabad ,"88,753","44,647","44,106","27,607"
Setteled in urban areas,"50,899","25,540","25,359","15,305"
Settled in rural areas,"37,854","19,107","18,747","12,302"
Unsettled ,0,0,0,0
Mashhad,"3,372,660","1,693,602","1,679,058","1,021,068"
Setteled in urban areas,"3,012,090","1,509,193","1,502,897","917,352"
Settled in rural areas,"360,498","184,351","176,147","103,657"
Unsettled ,72,58,14,59
Mah-Velat,"51,409","26,027","25,382","15,844"
Setteled in urban areas,"21,945","11,188","10,757","6,647"
Settled in rural areas,"29,464","14,839","14,625","9,197"
Unsettled ,0,0,0,0
Neyshabur ,"451,780","227,133","224,647","142,545"
Setteled in urban areas,"293,776","147,135","146,641","92,411"
Settled in rural areas,"157,993","79,989","78,004","50,128"
Unsettled ,11,9,2,6
      North Khorasan ,"863,092","433,633","429,459","254,747"
Setteled in urban areas,"484,346","243,442","240,904","143,219"
Settled in rural areas,"377,533","189,581","187,952","111,191"
Unsettled ,"1,213",610,603,337
Esfarayen,"120,513","60,334","60,179","36,519"
Setteled in urban areas,"62,917","31,772","31,145","18,486"
Settled in rural areas,"57,573","28,551","29,022","18,024"
Unsettled ,23,11,12,9
Bojnurd ,"324,083","162,778","161,305","94,457"
Setteled in urban areas,"233,810","116,932","116,878","68,753"
Settled in rural areas,"90,273","45,846","44,427","25,704"
Unsettled ,0,0,0,0
Jajarm ,"36,673","18,463","18,210","11,154"
Setteled in urban areas,"23,970","12,076","11,894","7,062"
Settled in rural areas,"12,703","6,387","6,316","4,092"
Unsettled ,0,0,0,0
Raz & Jargalan,"59,210","29,338","29,872","15,903"
Setteled in urban areas,"5,029","2,559","2,470","1,535"
Settled in rural areas,"54,181","26,779","27,402","14,368"
Unsettled ,0,0,0,0
Shirvan ,"146,140","73,658","72,482","43,873"
Setteled in urban areas,"89,345","45,056","44,289","26,672"
Settled in rural areas,"56,790","28,599","28,191","17,199"
Unsettled ,5,3,2,2
Faruj ,"49,271","24,771","24,500","15,469"
Setteled in urban areas,"15,896","8,086","7,810","4,739"
Settled in rural areas,"33,347","16,673","16,674","10,722"
Unsettled ,28,12,16,8
Garmeh ,"25,475","12,882","12,593","7,748"
Setteled in urban areas,"19,853","10,028","9,825","6,031"
Settled in rural areas,"5,622","2,854","2,768","1,717"
Unsettled ,0,0,0,0
Maneh and Samalqan ,"101,727","51,409","50,318","29,624"
Setteled in urban areas,"33,526","16,933","16,593","9,941"
Settled in rural areas,"67,044","33,892","33,152","19,365"
Unsettled ,"1,157",584,573,318
     Khuzestan ,"4,710,509","2,388,674","2,321,835","1,280,645"
Setteled in urban areas,"3,554,205","1,795,196","1,759,009","985,361"
Settled in rural areas,"1,151,596","590,963","560,633","294,177"
Unsettled ,"4,708","2,515","2,193","1,107"
Abadan,"298,090","149,510","148,580","85,015"
Setteled in urban areas,"250,555","125,186","125,369","71,726"
Settled in rural areas,"47,528","24,319","23,209","13,284"
Unsettled ,7,5,2,5
Aghajaree ,"17,654","8,712","8,942","4,961"
Setteled in urban areas,"11,912","5,874","6,038","3,477"
Settled in rural areas,"5,737","2,835","2,902","1,483"
Unsettled ,5,3,2,1
Omidiyeh  ,"92,335","46,761","45,574","25,123"
Setteled in urban areas,"69,784","35,501","34,283","19,234"
Settled in rural areas,"22,551","11,260","11,291","5,889"
Unsettled ,0,0,0,0
Endika ,"47,629","24,261","23,368","11,578"
Setteled in urban areas,"4,081","2,038","2,043","1,026"
Settled in rural areas,"43,548","22,223","21,325","10,552"
Unsettled ,0,0,0,0
Andimeshk  ,"171,412","87,649","83,763","48,636"
Setteled in urban areas,"149,726","75,647","74,079","43,139"
Settled in rural areas,"20,883","11,562","9,321","5,274"
Unsettled ,803,440,363,223
Ahvaz ,"1,302,591","656,830","645,761","362,480"
Setteled in urban areas,"1,192,439","600,620","591,819","333,461"
Settled in rural areas,"110,146","56,204","53,942","29,013"
Unsettled ,6,6,0,6
Izeh ,"198,871","99,521","99,350","48,682"
Setteled in urban areas,"124,889","62,422","62,467","31,378"
Settled in rural areas,"73,982","37,099","36,883","17,304"
Unsettled ,0,0,0,0
Baghmalek,"105,384","53,587","51,797","25,872"
Setteled in urban areas,"48,204","24,601","23,603","11,915"
Settled in rural areas,"57,171","28,981","28,190","13,955"
Unsettled ,9,5,4,2
Bavi,"96,484","48,662","47,822","25,597"
Setteled in urban areas,"69,023","34,646","34,377","18,396"
Settled in rural areas,"27,460","14,015","13,445","7,200"
Unsettled ,1,1,0,1
Bandar-e-Mahshahr  ,"296,271","149,664","146,607","81,211"
Setteled in urban areas,"274,655","138,049","136,606","76,043"
Settled in rural areas,"21,616","11,615","10,001","5,168"
Unsettled ,0,0,0,0
Behbahan ,"180,593","91,889","88,704","51,838"
Setteled in urban areas,"139,238","70,498","68,740","40,517"
Settled in rural areas,"41,343","21,385","19,958","11,318"
Unsettled ,12,6,6,3
Hamidiyeh ,"53,762","27,563","26,199","13,598"
Setteled in urban areas,"22,057","11,323","10,734","5,419"
Settled in rural areas,"31,705","16,240","15,465","8,179"
Unsettled ,0,0,0,0
Khorramshahr  ,"170,976","85,245","85,731","47,380"
Setteled in urban areas,"135,328","67,218","68,110","37,752"
Settled in rural areas,"35,646","18,025","17,621","9,626"
Unsettled ,2,2,0,2
Dezful,"443,971","229,800","214,171","125,351"
Setteled in urban areas,"323,019","166,084","156,935","94,652"
Settled in rural areas,"117,919","62,104","55,815","30,032"
Unsettled ,"3,033","1,612","1,421",667
Dasht-e-Azadegan ,"107,989","54,708","53,281","26,558"
Setteled in urban areas,"69,954","35,281","34,673","17,341"
Settled in rural areas,"38,035","19,427","18,608","9,217"
Unsettled ,0,0,0,0
Ramshir ,"54,004","27,381","26,623","14,113"
Setteled in urban areas,"27,104","13,553","13,551","7,100"
Settled in rural areas,"26,900","13,828","13,072","7,013"
Unsettled ,0,0,0,0
Ramhormoz ,"113,776","57,642","56,134","30,591"
Setteled in urban areas,"74,285","37,737","36,548","20,127"
Settled in rural areas,"39,416","19,870","19,546","10,449"
Unsettled ,75,35,40,15
Shadegan ,"138,480","70,314","68,166","36,031"
Setteled in urban areas,"51,241","26,012","25,229","13,820"
Settled in rural areas,"87,232","44,297","42,935","22,204"
Unsettled ,7,5,2,7
Shush,"205,720","104,705","101,015","55,194"
Setteled in urban areas,"104,991","53,013","51,978","29,146"
Settled in rural areas,"100,614","51,635","48,979","26,021"
Unsettled ,115,57,58,27
Shushtar ,"192,028","98,384","93,644","50,878"
Setteled in urban areas,"121,765","61,912","59,853","33,082"
Settled in rural areas,"70,112","36,397","33,715","17,764"
Unsettled ,151,75,76,32
Karoun,"105,872","53,964","51,908","27,749"
Setteled in urban areas,"56,252","28,966","27,286","14,714"
Settled in rural areas,"49,620","24,998","24,622","13,035"
Unsettled ,0,0,0,0
Gotvand  ,"65,468","33,753","31,715","16,901"
Setteled in urban areas,"44,357","22,806","21,551","11,861"
Settled in rural areas,"20,706","10,723","9,983","4,942"
Unsettled ,405,224,181,98
Lali ,"37,963","19,564","18,399","9,200"
Setteled in urban areas,"18,473","9,410","9,063","4,823"
Settled in rural areas,"19,490","10,154","9,336","4,377"
Unsettled ,0,0,0,0
Masjed Soleyman,"113,419","57,659","55,760","30,115"
Setteled in urban areas,"101,586","51,583","50,003","26,790"
Settled in rural areas,"11,756","6,037","5,719","3,307"
Unsettled ,77,39,38,18
Haftgol ,"22,119","11,193","10,926","5,908"
Setteled in urban areas,"15,802","8,021","7,781","4,283"
Settled in rural areas,"6,317","3,172","3,145","1,625"
Unsettled ,0,0,0,0
Hendijan ,"38,762","19,626","19,136","10,636"
Setteled in urban areas,"30,207","15,374","14,833","8,229"
Settled in rural areas,"8,555","4,252","4,303","2,407"
Unsettled ,0,0,0,0
Hovayzeh ,"38,886","20,127","18,759","9,449"
Setteled in urban areas,"23,278","11,821","11,457","5,910"
Settled in rural areas,"15,608","8,306","7,302","3,539"
Unsettled ,0,0,0,0
Zanjan,"1,057,461","534,849","522,612","321,983"
Setteled in urban areas,"711,177","359,309","351,868","217,713"
Settled in rural areas,"346,283","175,539","170,744","104,269"
Unsettled ,1,1,0,1
Abhar ,"151,528","76,678","74,850","47,329"
Setteled in urban areas,"126,114","63,807","62,307","39,289"
Settled in rural areas,"25,414","12,871","12,543","8,040"
Unsettled ,0,0,0,0
Ijerud  ,"36,641","18,578","18,063","11,317"
Setteled in urban areas,"3,330","1,697","1,633",960
Settled in rural areas,"33,311","16,881","16,430","10,357"
Unsettled ,0,0,0,0
Khodabandeh ,"164,493","83,292","81,201","47,599"
Setteled in urban areas,"65,163","32,912","32,251","18,679"
Settled in rural areas,"99,330","50,380","48,950","28,920"
Unsettled ,0,0,0,0
Khorramdarreh  ,"67,951","34,338","33,613","21,215"
Setteled in urban areas,"55,368","27,938","27,430","17,345"
Settled in rural areas,"12,583","6,400","6,183","3,870"
Unsettled ,0,0,0,0
Zanjan ,"521,302","263,140","258,162","159,020"
Setteled in urban areas,"433,475","218,872","214,603","133,156"
Settled in rural areas,"87,826","44,267","43,559","25,863"
Unsettled ,1,1,0,1
Soltaniyeh ,"29,480","14,950","14,530","9,130"
Setteled in urban areas,"7,638","3,911","3,727","2,319"
Settled in rural areas,"21,842","11,039","10,803","6,811"
Unsettled ,0,0,0,0
Tarom  ,"46,641","23,804","22,837","14,438"
Setteled in urban areas,"9,824","4,978","4,846","3,026"
Settled in rural areas,"36,817","18,826","17,991","11,412"
Unsettled ,0,0,0,0
Mahneshan  ,"39,425","20,069","19,356","11,935"
Setteled in urban areas,"10,265","5,194","5,071","2,939"
Settled in rural areas,"29,160","14,875","14,285","8,996"
Unsettled ,0,0,0,0
Semnan,"702,360","356,656","345,704","215,571"
Setteled in urban areas,"560,502","282,504","277,998","169,755"
Settled in rural areas,"141,858","74,152","67,706","45,816"
Unsettled ,0,0,0,0
Aradan,"13,884","7,067","6,817","4,919"
Setteled in urban areas,"7,449","3,777","3,672","2,543"
Settled in rural areas,"6,435","3,290","3,145","2,376"
Unsettled ,0,0,0,0
Damghan,"94,190","47,122","47,068","30,296"
Setteled in urban areas,"72,925","36,249","36,676","23,008"
Settled in rural areas,"21,265","10,873","10,392","7,288"
Unsettled ,0,0,0,0
Sorkhe,"15,523","7,867","7,656","5,330"
Setteled in urban areas,"9,951","5,022","4,929","3,388"
Settled in rural areas,"5,572","2,845","2,727","1,942"
Unsettled ,0,0,0,0
Semnan,"196,521","100,943","95,578","52,011"
Setteled in urban areas,"185,129","94,411","90,718","49,124"
Settled in rural areas,"11,392","6,532","4,860","2,887"
Unsettled ,0,0,0,0
Shahrud ,"218,628","111,191","107,437","69,723"
Setteled in urban areas,"176,619","88,974","87,645","56,322"
Settled in rural areas,"42,009","22,217","19,792","13,401"
Unsettled ,0,0,0,0
Garmsar ,"77,421","39,172","38,249","25,585"
Setteled in urban areas,"62,190","30,992","31,198","20,694"
Settled in rural areas,"15,231","8,180","7,051","4,891"
Unsettled ,0,0,0,0
Mehdishahr,"47,475","23,844","23,631","15,226"
Setteled in urban areas,"41,673","20,795","20,878","13,245"
Settled in rural areas,"5,802","3,049","2,753","1,981"
Unsettled ,0,0,0,0
Mayamee ,"38,718","19,450","19,268","12,481"
Setteled in urban areas,"4,566","2,284","2,282","1,431"
Settled in rural areas,"34,152","17,166","16,986","11,050"
Unsettled ,0,0,0,0
     Sistan & Baluchestan ,"2,775,014","1,401,931","1,373,083","704,888"
Setteled in urban areas,"1,345,642","685,163","660,479","334,808"
Settled in rural areas,"1,427,332","715,618","711,714","369,226"
Unsettled ,"2,040","1,150",890,854
Iranshahr ,"254,314","127,692","126,622","62,625"
Setteled in urban areas,"141,461","71,611","69,850","34,276"
Settled in rural areas,"112,851","56,080","56,771","28,348"
Unsettled ,2,1,1,1
Chabahar ,"283,204","144,482","138,722","68,147"
Setteled in urban areas,"112,409","57,574","54,835","27,216"
Settled in rural areas,"170,778","86,894","83,884","40,918"
Unsettled ,17,14,3,13
Khash ,"173,821","87,230","86,591","48,396"
Setteled in urban areas,"61,845","31,117","30,728","15,754"
Settled in rural areas,"110,739","55,468","55,271","32,139"
Unsettled ,"1,237",645,592,503
Delgan ,"67,857","33,575","34,282","16,551"
Setteled in urban areas,"10,292","5,172","5,120","2,450"
Settled in rural areas,"57,565","28,403","29,162","14,101"
Unsettled ,0,0,0,0
Zabol ,"165,666","82,996","82,670","43,701"
Setteled in urban areas,"138,710","69,548","69,162","36,428"
Settled in rural areas,"26,924","13,432","13,492","7,263"
Unsettled ,32,16,16,10
Zahedan,"672,589","342,524","330,065","168,480"
Setteled in urban areas,"592,968","302,095","290,873","147,972"
Settled in rural areas,"79,611","40,420","39,191","20,499"
Unsettled ,10,9,1,9
Zahak ,"74,896","37,763","37,133","20,055"
Setteled in urban areas,"13,357","6,794","6,563","3,238"
Settled in rural areas,"61,539","30,969","30,570","16,817"
Unsettled ,0,0,0,0
Saravan ,"191,661","96,589","95,072","50,524"
Setteled in urban areas,"90,906","46,105","44,801","24,076"
Settled in rural areas,"100,353","50,207","50,146","26,214"
Unsettled ,402,277,125,234
Sarbaz ,"186,165","92,894","93,271","45,910"
Setteled in urban areas,"28,146","14,234","13,912","6,332"
Settled in rural areas,"158,015","78,656","79,359","39,574"
Unsettled ,4,4,0,4
Sibsavaran,"85,095","42,196","42,899","21,665"
Setteled in urban areas,"15,254","7,730","7,524","3,740"
Settled in rural areas,"69,838","34,463","35,375","17,924"
Unsettled ,3,3,0,1
Fonuch,"49,161","24,543","24,618","12,604"
Setteled in urban areas,"13,070","6,529","6,541","3,410"
Settled in rural areas,"36,091","18,014","18,077","9,194"
Unsettled ,0,0,0,0
Qaser-e Qand,"61,076","30,325","30,751","15,524"
Setteled in urban areas,"11,605","5,735","5,870","2,649"
Settled in rural areas,"49,471","24,590","24,881","12,875"
Unsettled ,0,0,0,0
Konarak  ,"98,212","52,768","45,444","23,600"
Setteled in urban areas,"47,261","26,522","20,739","10,830"
Settled in rural areas,"50,951","26,246","24,705","12,770"
Unsettled ,0,0,0,0
Mehrestan ,"70,579","35,031","35,548","17,407"
Setteled in urban areas,"12,245","6,067","6,178","2,969"
Settled in rural areas,"58,334","28,964","29,370","14,438"
Unsettled ,0,0,0,0
Mirjave,"45,357","22,978","22,379","11,853"
Setteled in urban areas,"9,359","4,750","4,609","2,107"
Settled in rural areas,"35,998","18,228","17,770","9,746"
Unsettled ,0,0,0,0
Neekshahr ,"141,894","70,977","70,917","37,207"
Setteled in urban areas,"28,273","14,405","13,868","6,786"
Settled in rural areas,"113,591","56,553","57,038","30,411"
Unsettled ,30,19,11,10
Neemrooz,"48,471","24,542","23,929","12,700"
Setteled in urban areas,"3,613","1,667","1,946",862
Settled in rural areas,"44,712","22,794","21,918","11,809"
Unsettled ,146,81,65,29
Hamoon,"41,017","20,467","20,550","11,380"
Setteled in urban areas,"8,247","4,114","4,133","2,301"
Settled in rural areas,"32,613","16,272","16,341","9,039"
Unsettled ,157,81,76,40
Hirmand,"63,979","32,359","31,620","16,559"
Setteled in urban areas,"6,621","3,394","3,227","1,412"
Settled in rural areas,"57,358","28,965","28,393","15,147"
Unsettled ,0,0,0,0
Fars ,"4,851,274","2,461,251","2,390,023","1,443,027"
Setteled in urban areas,"3,401,675","1,717,520","1,684,155","1,022,402"
Settled in rural areas,"1,432,355","734,464","697,891","415,085"
Unsettled ,"17,244","9,267","7,977","5,540"
Abadeh  ,"100,831","50,991","49,840","31,672"
Setteled in urban areas,"88,226","44,213","44,013","28,083"
Settled in rural areas,"12,594","6,773","5,821","3,584"
Unsettled ,11,5,6,5
Arsanjan  ,"42,725","21,700","21,025","12,878"
Setteled in urban areas,"17,706","8,957","8,749","5,284"
Settled in rural areas,"25,013","12,741","12,272","7,592"
Unsettled ,6,2,4,2
Estahban  ,"68,850","35,001","33,849","20,890"
Setteled in urban areas,"48,416","24,478","23,938","14,610"
Settled in rural areas,"20,398","10,504","9,894","6,269"
Unsettled ,36,19,17,11
Eqlid ,"93,763","47,635","46,128","27,421"
Setteled in urban areas,"57,057","28,783","28,274","16,913"
Settled in rural areas,"35,636","18,281","17,355","10,205"
Unsettled ,"1,070",571,499,303
Bavanat  ,"50,418","25,938","24,480","15,874"
Setteled in urban areas,"20,428","10,520","9,908","6,427"
Settled in rural areas,"29,990","15,418","14,572","9,447"
Unsettled ,0,0,0,0
Pasargad  ,"30,118","15,373","14,745","8,813"
Setteled in urban areas,"18,677","9,516","9,161","5,473"
Settled in rural areas,"11,439","5,856","5,583","3,339"
Unsettled ,2,1,1,1
Jahrom ,"228,532","119,090","109,442","70,187"
Setteled in urban areas,"161,851","84,144","77,707","49,772"
Settled in rural areas,"65,776","34,462","31,314","20,104"
Unsettled ,905,484,421,311
Kharameh ,"54,864","28,021","26,843","16,874"
Setteled in urban areas,"20,405","10,331","10,074","6,211"
Settled in rural areas,"34,459","17,690","16,769","10,663"
Unsettled ,0,0,0,0
Khorrambid  ,"50,522","25,659","24,863","15,080"
Setteled in urban areas,"41,906","21,207","20,699","12,516"
Settled in rural areas,"8,616","4,452","4,164","2,564"
Unsettled ,0,0,0,0
Khonj,"41,359","20,638","20,721","10,708"
Setteled in urban areas,"19,217","9,569","9,648","4,665"
Settled in rural areas,"22,140","11,068","11,072","6,042"
Unsettled ,2,1,1,1
Darab ,"201,489","102,520","98,969","59,525"
Setteled in urban areas,"90,834","45,848","44,986","27,267"
Settled in rural areas,"110,082","56,388","53,694","32,113"
Unsettled ,573,284,289,145
Rostam,"44,386","21,874","22,512","12,668"
Setteled in urban areas,"12,268","5,971","6,297","3,501"
Settled in rural areas,"32,093","15,890","16,203","9,157"
Unsettled ,25,13,12,10
Zarrindasht  ,"73,199","37,110","36,089","20,328"
Setteled in urban areas,"44,411","22,664","21,747","12,215"
Settled in rural areas,"28,540","14,323","14,217","8,051"
Unsettled ,248,123,125,62
Sepidan,"91,049","46,273","44,776","26,381"
Setteled in urban areas,"25,737","13,078","12,659","7,198"
Settled in rural areas,"65,305","33,192","32,113","19,181"
Unsettled ,7,3,4,2
Sarvestan ,"38,114","19,505","18,609","11,653"
Setteled in urban areas,"21,468","10,841","10,627","6,633"
Settled in rural areas,"16,641","8,662","7,979","5,019"
Unsettled ,5,2,3,1
Shiraz ,"1,869,001","942,444","926,557","567,567"
Setteled in urban areas,"1,712,745","860,022","852,723","523,169"
Settled in rural areas,"155,231","81,859","73,372","44,003"
Unsettled ,"1,025",563,462,395
Farashband,"45,459","22,926","22,533","12,604"
Setteled in urban areas,"27,557","13,729","13,828","7,889"
Settled in rural areas,"16,966","8,710","8,256","4,458"
Unsettled ,936,487,449,257
Fasa ,"205,187","104,246","100,941","61,509"
Setteled in urban areas,"141,598","71,396","70,202","42,604"
Settled in rural areas,"63,409","32,756","30,653","18,855"
Unsettled ,180,94,86,50
Firuzabad ,"121,417","61,246","60,171","37,453"
Setteled in urban areas,"75,537","38,138","37,399","23,410"
Settled in rural areas,"40,999","20,586","20,413","12,431"
Unsettled ,"4,881","2,522","2,359","1,612"
Qirokarzin ,"71,203","36,665","34,538","20,508"
Setteled in urban areas,"42,018","21,407","20,611","11,827"
Settled in rural areas,"27,283","13,988","13,295","8,102"
Unsettled ,"1,902","1,270",632,579
Kazerun ,"266,217","134,534","131,683","76,227"
Setteled in urban areas,"148,145","74,375","73,770","43,303"
Settled in rural areas,"117,701","59,972","57,729","32,813"
Unsettled ,371,187,184,111
Kavar,"83,883","43,244","40,639","23,013"
Setteled in urban areas,"31,711","16,205","15,506","8,577"
Settled in rural areas,"52,162","27,033","25,129","14,433"
Unsettled ,10,6,4,3
Gerash ,"53,907","27,602","26,305","15,155"
Setteled in urban areas,"34,469","17,565","16,904","10,207"
Settled in rural areas,"19,438","10,037","9,401","4,948"
Unsettled ,0,0,0,0
Larestan ,"213,920","109,754","104,166","60,410"
Setteled in urban areas,"125,292","64,498","60,794","35,750"
Settled in rural areas,"87,976","44,888","43,088","24,465"
Unsettled ,652,368,284,195
Lamerd,"91,782","45,461","46,321","25,837"
Setteled in urban areas,"45,742","22,644","23,098","12,913"
Settled in rural areas,"46,032","22,814","23,218","12,923"
Unsettled ,8,3,5,1
Marvdasht,"323,434","166,055","157,379","94,699"
Setteled in urban areas,"166,715","85,552","81,163","48,783"
Settled in rural areas,"156,418","80,349","76,069","45,822"
Unsettled ,301,154,147,94
Mamasani  ,"117,527","59,535","57,992","35,060"
Setteled in urban areas,"64,657","32,763","31,894","18,583"
Settled in rural areas,"48,782","24,667","24,115","15,088"
Unsettled ,"4,088","2,105","1,983","1,389"
Mohr,"64,827","32,853","31,974","17,262"
Setteled in urban areas,"32,141","16,520","15,621","8,649"
Settled in rural areas,"32,686","16,333","16,353","8,613"
Unsettled ,0,0,0,0
Neyriz ,"113,291","57,358","55,933","34,771"
Setteled in urban areas,"64,741","32,586","32,155","19,970"
Settled in rural areas,"48,550","24,772","23,778","14,801"
Unsettled ,0,0,0,0
Qazvin,"1,273,761","650,499","623,262","397,165"
Setteled in urban areas,"952,149","484,027","468,122","295,019"
Settled in rural areas,"321,610","166,470","155,140","102,144"
Unsettled ,2,2,0,2
Abyek  ,"94,536","49,129","45,407","29,234"
Setteled in urban areas,"63,255","32,186","31,069","19,521"
Settled in rural areas,"31,281","16,943","14,338","9,713"
Unsettled ,0,0,0,0
Alborz ,"242,865","123,908","118,957","75,922"
Setteled in urban areas,"222,756","113,505","109,251","69,514"
Settled in rural areas,"20,109","10,403","9,706","6,408"
Unsettled ,0,0,0,0
Avaj ,"43,798","22,596","21,202","13,818"
Setteled in urban areas,"11,478","5,957","5,521","3,524"
Settled in rural areas,"32,319","16,638","15,681","10,293"
Unsettled ,1,1,0,1
Boyinzahra  ,"122,994","63,080","59,914","36,814"
Setteled in urban areas,"56,082","28,527","27,555","16,476"
Settled in rural areas,"66,912","34,553","32,359","20,338"
Unsettled ,0,0,0,0
Takestan  ,"172,636","87,881","84,755","52,917"
Setteled in urban areas,"113,090","57,484","55,606","34,384"
Settled in rural areas,"59,546","30,397","29,149","18,533"
Unsettled ,0,0,0,0
Qazvin  ,"596,932","303,905","293,027","188,460"
Setteled in urban areas,"485,488","246,368","239,120","151,600"
Settled in rural areas,"111,443","57,536","53,907","36,859"
Unsettled ,1,1,0,1
          Qom ,"1,292,283","658,540","633,743","383,532"
Setteled in urban areas,"1,229,964","624,509","605,455","365,334"
Settled in rural areas,"62,317","34,029","28,288","18,196"
Unsettled ,2,2,0,2
Qom ,"1,292,283","658,540","633,743","383,532"
Setteled in urban areas,"1,229,964","624,509","605,455","365,334"
Settled in rural areas,"62,317","34,029","28,288","18,196"
Unsettled ,2,2,0,2
        Kordestan ,"1,603,011","812,776","790,235","471,310"
Setteled in urban areas,"1,134,229","573,147","561,082","337,240"
Settled in rural areas,"468,778","239,625","229,153","134,066"
Unsettled ,4,4,0,4
Baneh  ,"158,690","80,622","78,068","43,772"
Setteled in urban areas,"115,325","58,261","57,064","32,127"
Settled in rural areas,"43,365","22,361","21,004","11,645"
Unsettled ,0,0,0,0
Bijar  ,"89,162","44,832","44,330","27,759"
Setteled in urban areas,"56,857","28,591","28,266","17,835"
Settled in rural areas,"32,305","16,241","16,064","9,924"
Unsettled ,0,0,0,0
Dehgalan ,"64,015","32,826","31,189","19,388"
Setteled in urban areas,"29,185","14,875","14,310","8,783"
